"Cliente","Strumento","Moneta","Saldo","NumeroValore","Nome","PrezzoMedio","PrezzoMercato","ValorePosizione","ValoreMonetaRiferimento","Evoluzione","Ordine","Categoria","ValoreMercatoMonetaCHF","ValoreMercatoMonetaEUR","ValoreMercatoMonetaUSD","ID_AAA","ID_strumento","ID_transazione","Ticker_indice_per_BETA","Valuta","VariazioneFX"
"pippo132","A","CHF",35,"1485278CH","Swiss Life Holding",175.229995727539,97.25,3403.75,2821.91325179583,-0.445015109449573,"E","Azioni e simili",3403.75,2821.91325179583,3709.40496948561,799,1,NA,"SMI.S",NA,NA
"pippo132","Oacc","EUR",100,"2189433","20201231 - 0% CAAM Interinvest Short Term EUR Cap 31-12-20 Pro-rata",NA,NA,0,0,NA,"D","Obbligazioni e simili          ",0,0,0,792,2,NA,NA,NA,NA
"pippo132","L","GBP",0.000194282528127587,"","GBP-1135470.0005",NA,NA,0.000194282528127587,0.000233833691708373,NA,"A","Saldi in Cto. Corrente",0.000282046738200002,0.000233833691708373,0.000307374387750656,NA,40,NA,NA,NA,NA
"pippo132","L","EUR",2.90679890895262e-05,"","ECU-1135470.0003",NA,NA,2.90679890895262e-05,2.90679890895262e-05,NA,"A","Saldi in Cto. Corrente",3.5061378233548e-05,2.90679890895262e-05,3.82098716581822e-05,NA,40,NA,NA,NA,NA
"pippo132","L","CHF",24.0303738343737,"","CHF-1135470.0002",NA,NA,24.0303738343737,19.9226236852962,NA,"A","Saldi in Cto. Corrente",24.0303738343737,19.9226236852962,26.1882888343218,NA,40,NA,NA,NA,NA
"pippo132","L","EUR",28110.9856863104,"","EUR-1135470.0001",NA,NA,28110.9856863104,28110.9856863104,NA,"A","Saldi in Cto. Corrente",33907.0548922394,28110.9856863104,36951.890684655,NA,40,NA,NA,NA,NA
"pippo132","L","NZD",-0.00177682119101519,"","NZD-1135470.0004",NA,NA,-0.00177682119101519,-0.00113083956516037,NA,"A","Saldi in Cto. Corrente",-0.00136400194707087,-0.00113083956516037,-0.00148648860840331,NA,40,NA,NA,NA,NA
"pippo135","L","CHF",5625.36823151731,"","CHF-0247-699.046.05A",NA,NA,5625.36823151731,4663.76824348144,NA,"A","Saldi in Cto. Corrente",5625.36823151731,4663.76824348144,6130.52335605635,NA,40,NA,NA,NA,NA
"pippo135","L","EUR",460.411436204307,"","EUR-0247-699.046.6CT",NA,NA,460.411436204307,460.411436204307,NA,"A","Saldi in Cto. Corrente",555.34146026038,460.411436204307,605.210832890562,NA,40,NA,NA,NA,NA
"pippo135","L","USD",1394.2091998285,"","USD-0247-699.046.6BF",NA,NA,1394.2091998285,1060.63841751883,NA,"A","Saldi in Cto. Corrente",1279.32636176263,1060.63841751883,1394.2091998285,NA,40,NA,NA,NA,NA
"pippo135","Oacc","EUR",2800,"2490099","20201231 - 0% <3Y - CB-Accent Lux Sicav - Fixed Income EUR 31-12-20 Pro-rata",NA,NA,0,0,NA,"D","Obbligazioni e simili          ",0,0,0,825,3,NA,NA,NA,NA
